rank,feature_id,coverage,missing_rate,tie_races,tie_races_eligible,tie_resolved,tie_resolution_rate,tie_correct,strict_hit_improve_rate,soft_to_strict_improve_rate,soft_to_strict_recovered,soft_not_strict,information_gain_mean,winner_rank_mean,within_tie_diversity_rate,rankable,cells_filled,cells_total,notes
1,popularity,1.0,0.0,9,9,9,1.0,1,0.02,0.2,1,5,2.061194,3.12,1.0,True,619,619,
2,win_odds,1.0,0.0,9,9,9,1.0,1,0.02,0.2,1,5,2.061194,3.16,1.0,True,619,619,
3,expected_popularity,1.0,0.0,9,9,9,1.0,1,0.02,0.2,1,5,2.061194,3.16,1.0,True,619,619,
4,oikiri_time,0.171244,0.828756,9,0,0,,0,0.0,0.0,0,5,,,0.0,True,106,619,
5,oikiri_rating,0.171244,0.828756,9,0,0,,0,0.0,0.0,0,5,,,0.0,True,106,619,
6,trainer,1.0,0.0,9,0,0,,0,,,0,5,,,1.0,False,619,619,CATEGORICAL_NO_PRIOR — resolver metrics N/A without win-rate prior
7,damsire,1.0,0.0,9,0,0,,0,,,0,5,,,1.0,False,619,619,CATEGORICAL_NO_PRIOR — resolver metrics N/A without win-rate prior
8,owner,1.0,0.0,9,0,0,,0,,,0,5,,,1.0,False,619,619,CATEGORICAL_NO_PRIOR — resolver metrics N/A without win-rate prior
9,sire,1.0,0.0,9,0,0,,0,,,0,5,,,0.888889,False,619,619,CATEGORICAL_NO_PRIOR — resolver metrics N/A without win-rate prior
10,breeder,1.0,0.0,9,0,0,,0,,,0,5,,,0.888889,False,619,619,CATEGORICAL_NO_PRIOR — resolver metrics N/A without win-rate prior
