dataset,horse_id,history_index,column,legacy_value,pi_value,diff_abs,diff_pct,cause,join_key
runners,2022103522,,odds,14.3,,,,netkeiba_spec_difference,2022103522
runners,2022103522,,popularity,5,,,,netkeiba_spec_difference,2022103522
runners,2022104781,,odds,43.7,,,,netkeiba_spec_difference,2022104781
runners,2022104781,,popularity,10,,,,netkeiba_spec_difference,2022104781
runners,2022102532,,odds,188.1,,,,netkeiba_spec_difference,2022102532
runners,2022102532,,popularity,12,,,,netkeiba_spec_difference,2022102532
runners,2022104635,,odds,2.3,,,,netkeiba_spec_difference,2022104635
runners,2022104635,,popularity,1,,,,netkeiba_spec_difference,2022104635
runners,2022106772,,odds,42.0,,,,netkeiba_spec_difference,2022106772
runners,2022106772,,popularity,9,,,,netkeiba_spec_difference,2022106772
runners,2022106825,,odds,5.2,,,,netkeiba_spec_difference,2022106825
runners,2022106825,,popularity,3,,,,netkeiba_spec_difference,2022106825
runners,2022100781,,odds,4.6,,,,netkeiba_spec_difference,2022100781
runners,2022100781,,popularity,2,,,,netkeiba_spec_difference,2022100781
runners,2021106826,,odds,33.1,,,,netkeiba_spec_difference,2021106826
runners,2021106826,,popularity,8,,,,netkeiba_spec_difference,2021106826
runners,2017101772,,odds,24.8,,,,netkeiba_spec_difference,2017101772
runners,2017101772,,popularity,6,,,,netkeiba_spec_difference,2017101772
runners,2022104669,,odds,5.7,,,,netkeiba_spec_difference,2022104669
runners,2022104669,,popularity,4,,,,netkeiba_spec_difference,2022104669
runners,2022103405,,odds,79.0,,,,netkeiba_spec_difference,2022103405
runners,2022103405,,popularity,11,,,,netkeiba_spec_difference,2022103405
runners,2021105375,,odds,25.4,,,,netkeiba_spec_difference,2021105375
runners,2021105375,,popularity,7,,,,netkeiba_spec_difference,2021105375
horse_history_raw,2021106826,0.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20260628|松島特別(2勝クラス)
horse_history_raw,2021106826,0.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20260628|松島特別(2勝クラス)
horse_history_raw,2021106826,1.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20260516|調布特別(2勝クラス)
horse_history_raw,2021106826,1.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20260516|調布特別(2勝クラス)
horse_history_raw,2021106826,2.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20260419|野島崎特別(2勝クラス)
horse_history_raw,2021106826,2.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20260419|野島崎特別(2勝クラス)
horse_history_raw,2021106826,3.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20260321|館山特別(2勝クラス)
horse_history_raw,2021106826,3.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20260321|館山特別(2勝クラス)
horse_history_raw,2021106826,4.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20260228|別府特別(2勝クラス)
horse_history_raw,2021106826,4.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20260228|別府特別(2勝クラス)
horse_history_raw,2021106826,5.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20260105|逢坂山特別(2勝クラス)
horse_history_raw,2021106826,5.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20260105|逢坂山特別(2勝クラス)
horse_history_raw,2021106826,6.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20251213|3歳以上2勝クラス
horse_history_raw,2021106826,6.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20251213|3歳以上2勝クラス
horse_history_raw,2021106826,7.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20251124|五色沼特別(2勝クラス)
horse_history_raw,2021106826,7.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20251124|五色沼特別(2勝クラス)
horse_history_raw,2021106826,8.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20250809|藻岩山特別(2勝クラス)
horse_history_raw,2021106826,8.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20250809|藻岩山特別(2勝クラス)
horse_history_raw,2021106826,9.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20250802|釧路湿原特別(2勝クラス)
horse_history_raw,2021106826,9.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20250802|釧路湿原特別(2勝クラス)
horse_history_raw,2021106826,10.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20250719|かもめ島特別(2勝クラス)
horse_history_raw,2021106826,10.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20250719|かもめ島特別(2勝クラス)
horse_history_raw,2021106826,11.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20250628|洞爺湖特別(2勝クラス)
horse_history_raw,2021106826,11.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20250628|洞爺湖特別(2勝クラス)
horse_history_raw,2021106826,12.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20250330|四国新聞杯(2勝クラス)
horse_history_raw,2021106826,12.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20250330|四国新聞杯(2勝クラス)
horse_history_raw,2021106826,13.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20250302|富里特別(2勝クラス)
horse_history_raw,2021106826,13.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20250302|富里特別(2勝クラス)
horse_history_raw,2021106826,14.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20250215|太宰府特別(2勝クラス)
horse_history_raw,2021106826,14.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20250215|太宰府特別(2勝クラス)
horse_history_raw,2021106826,15.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20241110|3歳以上1勝クラス
horse_history_raw,2021106826,15.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20241110|3歳以上1勝クラス
horse_history_raw,2021106826,16.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20241014|3歳以上1勝クラス
horse_history_raw,2021106826,16.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20241014|3歳以上1勝クラス
horse_history_raw,2021106826,17.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20240921|3歳以上1勝クラス
horse_history_raw,2021106826,17.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20240921|3歳以上1勝クラス
horse_history_raw,2021106826,18.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20240706|若戸大橋特別(1勝クラス)
horse_history_raw,2021106826,18.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20240706|若戸大橋特別(1勝クラス)
horse_history_raw,2021106826,19.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20240615|3歳以上1勝クラス
horse_history_raw,2021106826,19.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20240615|3歳以上1勝クラス
horse_history_raw,2021106826,20.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20240518|カーネーションC(1勝クラス)
horse_history_raw,2021106826,20.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20240518|カーネーションC(1勝クラス)
horse_history_raw,2021106826,21.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20240427|矢車賞(1勝クラス)
horse_history_raw,2021106826,21.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20240427|矢車賞(1勝クラス)
horse_history_raw,2021106826,22.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20240203|3歳未勝利
horse_history_raw,2021106826,22.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20240203|3歳未勝利
horse_history_raw,2021106826,23.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20240114|3歳未勝利
horse_history_raw,2021106826,23.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20240114|3歳未勝利
horse_history_raw,2021106826,24.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20231217|2歳未勝利
horse_history_raw,2021106826,24.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20231217|2歳未勝利
horse_history_raw,2021106826,25.0,odds_today,51.7,,,,netkeiba_spec_difference,2021106826|20231126|2歳新馬
horse_history_raw,2021106826,25.0,popularity_today,8.0,,,,netkeiba_spec_difference,2021106826|20231126|2歳新馬
horse_history_raw,2022100781,0.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20260516|石打特別(1勝クラス)
horse_history_raw,2022100781,0.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20260516|石打特別(1勝クラス)
horse_history_raw,2022100781,1.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20260418|桑折特別(1勝クラス)
horse_history_raw,2022100781,1.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20260418|桑折特別(1勝クラス)
horse_history_raw,2022100781,2.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20260321|4歳以上1勝クラス
horse_history_raw,2022100781,2.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20260321|4歳以上1勝クラス
horse_history_raw,2022100781,3.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20260222|4歳以上1勝クラス
horse_history_raw,2022100781,3.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20260222|4歳以上1勝クラス
horse_history_raw,2022100781,4.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20251122|高湯温泉特別(1勝クラス)
horse_history_raw,2022100781,4.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20251122|高湯温泉特別(1勝クラス)
horse_history_raw,2022100781,5.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20250920|3歳以上1勝クラス
horse_history_raw,2022100781,5.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20250920|3歳以上1勝クラス
horse_history_raw,2022100781,6.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20250803|3歳以上1勝クラス
horse_history_raw,2022100781,6.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20250803|3歳以上1勝クラス
horse_history_raw,2022100781,7.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20250420|3歳未勝利
horse_history_raw,2022100781,7.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20250420|3歳未勝利
horse_history_raw,2022100781,8.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20250223|3歳未勝利
horse_history_raw,2022100781,8.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20250223|3歳未勝利
horse_history_raw,2022100781,9.0,odds_today,3.6,,,,netkeiba_spec_difference,2022100781|20241208|2歳未勝利
horse_history_raw,2022100781,9.0,popularity_today,2.0,,,,netkeiba_spec_difference,2022100781|20241208|2歳未勝利
