race_id,numeric_race_id,date,course,race_number,race_name,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried_today,jockey_today,odds_today,popularity_today,history_index,history_date,history_place,history_race_name,history_class,history_frame_number,history_horse_number,history_distance_text,history_surface,history_distance,history_course_condition,history_finish,history_popularity,history_odds,history_last3f,history_margin,history_weight,history_passing,history_time,history_jockey,history_horse_weight,history_weather,corner1,corner2,corner3,corner4
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,0,2026/07/19,2福島8,猪苗代特別(2勝クラス),,1,1,芝2000,芝,2000,良,10.0,7,23.7,36.4,1.6,58,6-5-6-6,2:01.8,菊沢一樹,484(-16),晴,6.0,5.0,6.0,6.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,1,2026/05/17,1新潟6,信濃川特別(2勝クラス),,5,10,芝2000,芝,2000,良,6.0,12,48.7,33.5,0.6,58,11-9,2:01.3,富田暁,500(0),晴,11.0,9.0,,9.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,2,2026/04/26,3京都2,比良山特別(2勝クラス),,4,4,芝2200,芝,2200,良,10.0,6,13.8,36.1,1.2,55,3-3-3-2,2:12.6,岩田康誠,500(-2),晴,3.0,3.0,3.0,2.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,3,2026/03/28,1中京5,TAインディア賞(2勝クラス),,3,3,芝2200,芝,2200,良,4.0,6,13.0,33.4,0.3,57,8-8-8-7,2:15.6,岩田康誠,502(+4),晴,8.0,8.0,8.0,7.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,4,2026/03/14,1中京1,茶臼山高原特別(2勝クラス),,2,2,芝2000,芝,2000,良,5.0,6,15.5,35.2,0.5,58,6-5-7-7,1:59.4,松若風馬,498(-4),晴,6.0,5.0,7.0,7.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,5,2026/01/05,1中山2,初日の出賞(2勝クラス),,4,4,芝2000,芝,2000,良,5.0,5,8.3,34.9,0.6,57,4-4-4-4,2:02.2,菊沢一樹,502(+8),晴,4.0,4.0,4.0,4.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,6,2025/12/14,5中京4,一宮特別(2勝クラス),,3,3,芝2200,芝,2200,稍,3.0,5,11.4,35.6,0.9,56,3-3-4-3,2:14.9,菊沢一樹,494(+6),晴,3.0,3.0,4.0,3.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,7,2025/11/08,3福島1,三春駒特別(1勝クラス),,3,5,芝2000,芝,2000,良,1.0,4,14.8,35.3,0.0,56,4-4-4-5,1:59.7,菊沢一樹,488(+4),晴,4.0,4.0,4.0,5.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,8,2025/10/18,4新潟1,岩船特別(1勝クラス),,5,8,芝2200,芝,2200,良,7.0,7,12.3,35.8,0.5,55,11-9-9-8,2:13.3,菊沢一樹,484(+10),曇,11.0,9.0,9.0,8.0
2026-07-19-01-10,202603020810,2026-07-19,福島,10,猪苗代特別,1,ジェットブレード,https://db.netkeiba.com/horse/2022103522/,2022103522,牡,4,58.0,菊沢,,,9,2025/08/31,3新潟4,瓢湖特別(1勝クラス),,6,7,芝2200,芝,2200,良,3.0,5,17.1,35.4,0.4,55,10-10-7-5,2:14.0,菊沢一樹,474(-6),晴,10.0,10.0,7.0,5.0
