race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity,numeric_race_id_race,date_race,race_name_race,turn_race,weather_race,track_condition_race,history_count,history_confidence,layoff_days,layoff_penalty,last_finish,last3_avg_finish,avg_finish,corner4_count,last3_avg_corner4,avg_corner4,front_rate,running_style,style_confidence,style_source,same_distance_count,same_distance_avg_finish,same_surface_count,same_surface_avg_finish,distance_score,history_score,corner4_restored_flag,used_history_date_col,grade_points_last3_raw,grade_points_last3,stayer_grade_points_last3_raw,stayer_grade_points_last3,grade_distance_style_points_last3_raw,grade_distance_style_points_last3,style_distance_fit_weight,grade_sample_confidence,gate,field_size,gate_risk_score,inside_traffic_risk,style_disadvantage_score,nige_count,senkou_count,sashi_count,oikomi_count,pace_pressure,pace_pressure_rate,pace_collapse_risk_v2,win5_leg,race_label
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,1,ウインデイジー,https://db.netkeiba.com/horse/2021106194/,2021106194,牝,5,56.0,松若,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,22,1.0,35.0,0.0,3.0,5.0,4.863636363636363,22,5.666666666666667,6.7727272727272725,0.3181818181818182,先行,1.0,corner4_last3,16,5.3125,22,4.863636363636363,0.675114,0.850606,1,history_date,0.1737,0.159451,0.0945,0.090172,0.14706,0.136758,0.95,1.0,0,11,0.5166666666666666,0.0,0.0,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,2,エイカイマッケンロ,https://db.netkeiba.com/horse/2019104800/,2019104800,セ,7,58.0,ディー,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,32,1.0,70.0,0.02,15.0,10.0,6.28125,32,6.666666666666667,5.28125,0.375,差し,1.0,corner4_last3,27,6.185185185185185,31,6.290322580645161,0.643393,0.527083,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.0,0,11,0.39999999999999997,0.6,0.2,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,3,サダムオプシス,https://db.netkeiba.com/horse/2021105474/,2021105474,牡,5,58.0,幸,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,18,1.0,35.0,0.0,4.0,5.666666666666667,6.0,18,12.333333333333334,8.222222222222221,0.2777777777777778,追込,1.0,corner4_last3,13,6.153846153846154,18,6.0,0.646923,0.814259,1,history_date,0.06512,0.063045,0.02992,0.029477,0.058608,0.056924,0.9,1.0,0,11,0.8277777777777777,0.6,0.35,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,4,サトノクローク,https://db.netkeiba.com/horse/2020106667/,2020106667,牡,6,58.0,田口,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,28,1.0,35.0,0.0,10.0,8.333333333333334,5.321428571428571,28,5.0,4.107142857142857,0.7142857142857143,先行,1.0,corner4_last3,22,5.681818181818182,28,5.321428571428571,0.663149,0.664312,1,history_date,0.11594,0.109471,0.11594,0.109471,0.110143,0.104294,0.95,1.0,0,11,0.3722222222222222,0.0,0.0,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,5,タイセイフェリーク,https://db.netkeiba.com/horse/2020103713/,2020103713,牝,6,56.0,藤懸,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,28,1.0,35.0,0.0,5.0,6.666666666666667,4.964285714285714,28,13.333333333333334,8.464285714285714,0.17857142857142858,追込,1.0,corner4_last3,14,5.785714285714286,28,4.964285714285714,0.664643,0.778862,1,history_date,0.0352,0.034588,0.0,0.0,0.03168,0.031183,0.9,1.0,0,11,0.8444444444444444,0.6,0.35,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,6,ナムラフッカー,https://db.netkeiba.com/horse/2021102510/,2021102510,牡,5,58.0,高倉,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,24,1.0,35.0,0.0,18.0,10.0,6.291666666666667,24,9.666666666666666,8.333333333333334,0.16666666666666666,差し,1.0,corner4_last3,13,7.0,24,6.291666666666667,0.627083,0.50537,1,history_date,0.02992,0.029477,0.02992,0.029477,0.028424,0.028024,0.95,1.0,0,11,0.5499999999999999,0.6,0.2,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,7,ハーツコンチェルト,https://db.netkeiba.com/horse/2020105681/,2020105681,牡,6,58.0,横山武,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,16,1.0,55.0,0.02,10.0,6.5,4.666666666666667,14,13.5,8.214285714285714,0.1875,追込,1.0,corner4_last3,13,4.25,16,4.666666666666667,0.698333,0.695093,1,history_date,0.06732,0.065104,0.06732,0.065104,0.060588,0.058789,0.9,1.0,0,11,0.8583333333333333,0.6,0.35,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,8,ミッキーゴールド,https://db.netkeiba.com/horse/2022104765/,2022104765,セ,4,58.0,菅原明,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,10,1.0,83.0,0.02,10.0,7.666666666666667,3.8,10,9.666666666666666,5.1,0.7,差し,1.0,corner4_last3,9,4.0,10,3.8,0.712,0.668481,1,history_date,0.05544,0.053931,0.0,0.0,0.052668,0.051305,0.95,1.0,0,11,0.6277777777777778,0.6,0.2,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,9,ミュージシャン,https://db.netkeiba.com/horse/2022103207/,2022103207,牡,4,58.0,坂井,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,10,1.0,49.0,0.02,2.0,3.6666666666666665,3.0,10,3.3333333333333335,3.2,0.8,逃げ,1.0,corner4_last3,9,3.2222222222222223,10,3.0,0.735556,0.887593,1,history_date,0.25234,0.223019,0.0,0.0,0.214489,0.193046,0.85,1.0,0,11,0.4444444444444444,0.0,0.0,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,10,メイショウソウタ,https://db.netkeiba.com/horse/2021103263/,2021103263,牡,5,58.0,菱田,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,21,1.0,35.0,0.0,15.0,10.333333333333334,5.714285714285714,21,7.0,4.666666666666667,0.5238095238095238,差し,1.0,corner4_last3,2,11.0,2,11.0,0.344,0.540899,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.0,0,11,0.40555555555555556,0.6,0.2,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
2026-07-25-02-07,202607020107,2026-07-25,中京,7,関ケ原S,芝,2200,左,unknown,良,0,11,リンフレスカンテ,https://db.netkeiba.com/horse/2018104797/,2018104797,牡,8,58.0,田辺,,,202607020107,2026-07-25,関ケ原S,左,unknown,良,40,1.0,70.0,0.02,10.0,10.0,4.2,40,13.0,7.2,0.175,追込,1.0,corner4_last3,30,3.966666666666667,40,4.2,0.708667,0.605778,1,history_date,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0,11,0.7166666666666666,0.6,0.35,1,2,4,4,2.8,0.2545454545454545,0.23909090909090908,1,2026-07-25-02-07
